Waterschap;order_code_min;order_code_max
Waterschap Aa en Maas;1;40
Waterschap Amstel, Gooi en Vecht;41;80
Waterschap Brabantse Delta;81;120
Waterschap De Dommel;121;160
Hoogheemraadschap De Stichtse Rijnlanden;161;200
Hoogheemraadschap Delfland;201;240
Waterschap Drents Overijsselse Delta;241;280
Hoogheemraadschap Hollands Noorderkwartier;281;320
Waterschap Hollandse Delta;321;360
Waterschap Hunze en Aa's;361;400
Waterschap Noorderzijlvest;401;440
Waterschap Limburg;441;480
Waterschap Rijn en IJssel;481;520
Hoogheemraadschap Rijnland;521;560
Waterschap Rivierenland;561;600
Waterschap Scheldestromen;641;680
Hoogheemraadschap Schieland en de Krimpenerwaard;681;720
Waterschap Vallei en Veluwe;721;760
Waterschap Vechtstromen;761;800
Wetterskip Fryslân;801;840
Waterschap Zuiderzeeland;841;880
